posting_id,URL,first_seen,last_processed,title_id,company_id,location_id,city_id,country_id,search_pos_id,job_level_id,onsite_flag_id
1088891,https://www.linkedin.com/jobs/view/dtas-fleet-data-manager-sme-san-diego-at-general-dynamics-information-technology-3786292605,1/17/2024,04:06.5,5712,508,""San Die",433,1,205,1,"1"
1090716,https://www.linkedin.com/jobs/view/principal-data-solutions-consultant-presales-at-sourced-group-an-amdocs-company-3773494320,1/14/2024,05:49.2,2756,1049,""New Yor",78,1,188,1,"1"
1091313,https://au.linkedin.com/jobs/view/senior-data-scientist-at-atlassian-3791155697,1/16/2024,28:38.5,134,68,""Sydney,",253,4,24,1,"1"
1091642,https://www.linkedin.com/jobs/view/database-developer-iii-at-compunnel-inc-3779960011,1/13/2024,45:09.2,3399,924,""Pittsbu",414,1,6,1,"1"
1092702,https://www.linkedin.com/jobs/view/field-inspector-auditor-data-collector-at-quiktrak-llc-3747121022,1/13/2024,45:09.2,2556,808,""Appleto",400,1,320,1,"1"
1093173,https://www.linkedin.com/jobs/view/medical-laboratory-scientist-mlt-or-mls-7318-at-true-north-consulting-llc-kansas-city-3794022718,1/12/2024,45:09.2,1837,316,""Tulsa, ",544,1,23,1,"1"
1096709,https://www.linkedin.com/jobs/view/data-architect-at-integrated-talent-strategies-its-3779705336,1/14/2024,39:40.0,152,3742,""Bowling",443,1,4,1,"1"
1100092,https://www.linkedin.com/jobs/view/reference-lab-technologist-mt-mls-cls-2nd-shift-mon-fri-at-kentucky-blood-center-3750910404,1/12/2024,45:09.2,1781,1387,""Lexingt",589,1,23,1,"1"
1100513,https://www.linkedin.com/jobs/view/federal-government-senior-data-scientist-fully-remote-at-latitude-inc-3798893121,1/16/2024,13:13.5,641,540,""Rockvil",128,1,24,1,"1"
1100782,https://uk.linkedin.com/jobs/view/senior-data-quality-assurance-analyst-at-gcs-compliance-3804279701,1/13/2024,45:09.2,3493,2579,""Maccles",550,2,14,1,"1"
1101049,https://www.linkedin.com/jobs/view/senior-data-analyst-at-walmart-3775680553,1/13/2024,45:09.2,2402,143,""Sunnyva",60,1,17,1,"1"
1101943,https://www.linkedin.com/jobs/view/controls-engineer-data-centers-at-barry-wehmiller-design-group-3805540837,1/13/2024,45:09.2,4415,1208,""St Loui",25,1,48,2,"1"
1102019,https://www.linkedin.com/jobs/view/data-integration-architect-cum-project-manager-remote-at-the-dignify-solutions-llc-3798581218,1/14/2024,01:19.0,4482,500,""New Yor",101,1,98,1,"1"
1102580,https://www.linkedin.com/jobs/view/volunteer-website-maintenance-content-manager-joomla-required-at-volunteermatch-3803988630,1/13/2024,45:09.2,150,76,""Mill Va",124,1,95,2,"1"
